,Parameters,RMSE,MAPE
47,"{'seasonality_mode': 'additive', 'n_changepoints': 100, 'changepoint_prior_scale': 0.3}",34.71300787025225,17.523908470774106
48,"{'seasonality_mode': 'multiplicative', 'n_changepoints': 5, 'changepoint_prior_scale': 0.4}",33.767825535674916,16.906591580499576
49,"{'seasonality_mode': 'additive', 'n_changepoints': 5, 'changepoint_prior_scale': 0.4}",32.065913652890245,16.01888879974202
50,"{'seasonality_mode': 'multiplicative', 'n_changepoints': 10, 'changepoint_prior_scale': 0.4}",39.46740902811209,20.00605923341612
51,"{'seasonality_mode': 'additive', 'n_changepoints': 10, 'changepoint_prior_scale': 0.4}",37.161468630441505,18.845385933645748
52,"{'seasonality_mode': 'multiplicative', 'n_changepoints': 25, 'changepoint_prior_scale': 0.4}",37.385111372082086,18.90411783625554
53,"{'seasonality_mode': 'additive', 'n_changepoints': 25, 'changepoint_prior_scale': 0.4}",35.04209876585798,17.66430086392119
54,"{'seasonality_mode': 'multiplicative', 'n_changepoints': 50, 'changepoint_prior_scale': 0.4}",37.14388260746112,18.70439295477594
55,"{'seasonality_mode': 'additive', 'n_changepoints': 50, 'changepoint_prior_scale': 0.4}",34.672215719172954,17.501472620365842
56,"{'seasonality_mode': 'multiplicative', 'n_changepoints': 75, 'changepoint_prior_scale': 0.4}",37.466621489673784,18.910736015370816
57,"{'seasonality_mode': 'additive', 'n_changepoints': 75, 'changepoint_prior_scale': 0.4}",34.68192769036315,17.512609982132666
58,"{'seasonality_mode': 'multiplicative', 'n_changepoints': 100, 'changepoint_prior_scale': 0.4}",37.32849851633696,18.80907192445853
59,"{'seasonality_mode': 'additive', 'n_changepoints': 100, 'changepoint_prior_scale': 0.4}",34.641570984193564,17.49526468673658
60,"{'seasonality_mode': 'multiplicative', 'n_changepoints': 5, 'changepoint_prior_scale': 0.5}",33.74587298550105,16.893989686375136
61,"{'seasonality_mode': 'additive', 'n_changepoints': 5, 'changepoint_prior_scale': 0.5}",32.06888340261442,16.020665447002184
62,"{'seasonality_mode': 'multiplicative', 'n_changepoints': 10, 'changepoint_prior_scale': 0.5}",39.48297608724071,20.014718984058696
63,"{'seasonality_mode': 'additive', 'n_changepoints': 10, 'changepoint_prior_scale': 0.5}",37.122677752091974,18.824228002880936
64,"{'seasonality_mode': 'multiplicative', 'n_changepoints': 25, 'changepoint_prior_scale': 0.5}",37.38300469662002,18.904013316926978
65,"{'seasonality_mode': 'additive', 'n_changepoints': 25, 'changepoint_prior_scale': 0.5}",34.99598416166305,17.641652649170926
66,"{'seasonality_mode': 'multiplicative', 'n_changepoints': 50, 'changepoint_prior_scale': 0.5}",37.092568219123024,18.674002746761538
67,"{'seasonality_mode': 'additive', 'n_changepoints': 50, 'changepoint_prior_scale': 0.5}",34.70294017248371,17.518939231980042
68,"{'seasonality_mode': 'multiplicative', 'n_changepoints': 75, 'changepoint_prior_scale': 0.5}",37.1093775416627,18.721100695570524
69,"{'seasonality_mode': 'additive', 'n_changepoints': 75, 'changepoint_prior_scale': 0.5}",34.68160318952369,17.51736372093284
70,"{'seasonality_mode': 'multiplicative', 'n_changepoints': 100, 'changepoint_prior_scale': 0.5}",37.42842453155669,18.864592548138017
71,"{'seasonality_mode': 'additive', 'n_changepoints': 100, 'changepoint_prior_scale': 0.5}",34.61241581142641,17.48952612250056
